year,age,sex,maritl,race,education,region,jobclass,health,health_ins,logwage,wage
2008,39,M,Married,White,College Grad,Middle Atlantic,Industrial,Good,Y,4.556,95.231
2003,28,M,Married,White,< HS Grad,Middle Atlantic,Information,Very Good,N,4.778,118.884
2006,43,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.845,127.116
2006,58,M,Married,Black,< HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.255,70.476
2007,38,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.114,166.325
2004,49,M,Married,Black,Some College,Middle Atlantic,Industrial,Very Good,Y,4.936,139.156
2003,62,M,Married,White,Some College,Middle Atlantic,Information,Good,N,3.230,25.291
2004,36,M,Married,White,Some College,Middle Atlantic,Information,Good,Y,4.400,81.447
2004,54,M,Divorced,White,College Grad,Middle Atlantic,Industrial,Very Good,N,4.477,87.981
2005,26,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.757,116.442
2009,46,M,Married,Asian,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.114,166.325
2006,58,M,Divorced,White,Some College,Middle Atlantic,Industrial,Very Good,Y,5.009,149.695
2005,22,M,Never Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.301,73.776
2005,58,M,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,N,5.626,277.601
2008,63,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,N,4.919,136.876
2007,67,M,Married,Black,< HS Grad,Middle Atlantic,Information,Very Good,Y,4.863,129.454
2008,44,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.716,111.721
2003,51,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,5.186,178.701
2003,46,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,3.903,49.555
2007,43,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Very Good,N,4.415,82.680
2004,40,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,N,4.301,73.776
2008,31,M,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.531,92.896
2007,41,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.740,114.476
2008,21,M,Never Married,Black,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.431,84.046
2008,51,M,Married,White,Some College,Middle Atlantic,Information,Very Good,N,4.342,76.894
2003,43,M,Separated,Black,Some College,Middle Atlantic,Information,Very Good,Y,4.380,79.855
2004,34,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.875,130.982
2008,45,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,5.000,148.413
2008,35,M,Married,Asian,< HS Grad,Middle Atlantic,Industrial,Very Good,N,4.176,65.111
2004,33,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.903,134.705
2003,46,M,Married,Black,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.544,94.073
2003,38,M,Never Married,Black,< HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.544,94.073
2004,44,M,Never Married,Black,College Grad,Middle Atlantic,Information,Good,Y,4.505,90.482
2006,50,M,Never Married,White,HS Grad,Middle Atlantic,Information,Good,Y,4.716,111.722
2009,55,M,Married,White,HS Grad,Middle Atlantic,Information,Good,Y,4.681,107.904
2009,49,M,Married,White,Advanced Degree,Middle Atlantic,Information,Good,Y,5.255,191.574
2006,47,M,Married,Black,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.978,145.144
2003,40,M,Married,Other,HS Grad,Middle Atlantic,Information,Very Good,Y,4.932,138.639
2003,21,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,3.982,53.639
2008,60,M,Married,Black,< HS Grad,Middle Atlantic,Industrial,Very Good,N,4.533,93.053
2008,56,M,Never Married,White,< HS Grad,Middle Atlantic,Information,Very Good,N,4.398,81.283
2004,61,M,Married,White,Some College,Middle Atlantic,Industrial,Good,N,4.857,128.680
2008,44,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.914,136.158
2007,43,M,Divorced,White,Advanced Degree,Middle Atlantic,Industrial,Good,Y,5.079,160.642
2005,29,M,Married,White,Some College,Middle Atlantic,Industrial,Good,Y,4.699,109.834
2003,38,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,N,5.000,148.413
2003,26,M,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.686,108.391
2006,28,M,Never Married,Other,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.207,67.143
2003,38,M,Never Married,White,College Grad,Middle Atlantic,Information,Good,Y,4.771,118.020
2006,45,M,Divorced,White,Some College,Middle Atlantic,Industrial,Very Good,N,4.699,109.834
2004,39,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,3.857,47.339
2003,33,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.142,62.914
2005,44,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Very Good,N,4.255,70.476
2006,48,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.602,99.689
2007,45,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.530,92.791
2007,56,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,4.602,99.692
2009,40,M,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,N,4.740,114.476
2006,71,M,Married,Black,< HS Grad,Middle Atlantic,Industrial,Good,N,4.491,89.243
2006,30,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,4.778,118.884
2004,45,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,5.000,148.413
2004,41,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.505,90.482
2003,40,M,Married,Other,Some College,Middle Atlantic,Information,Very Good,Y,4.778,118.884
2004,59,M,Married,White,< HS Grad,Middle Atlantic,Information,Good,Y,4.491,89.168
2007,46,M,Married,Asian,< HS Grad,Middle Atlantic,Industrial,Very Good,N,4.301,73.776
2003,38,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.255,70.476
2007,26,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.538,93.487
2005,53,M,Married,Black,HS Grad,Middle Atlantic,Information,Good,Y,4.255,70.476
2004,46,M,Divorced,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.602,99.689
2007,42,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.591,98.599
2006,28,M,Never Married,Black,Some College,Middle Atlantic,Industrial,Good,N,4.000,54.598
2004,30,M,Never Married,White,< HS Grad,Middle Atlantic,Industrial,Very Good,N,4.462,86.695
2008,34,M,Married,Asian,College Grad,Middle Atlantic,Information,Very Good,Y,4.778,118.884
2008,46,M,Married,White,College Grad,Middle Atlantic,Industrial,Good,N,5.079,160.642
2007,22,M,Never Married,White,Some College,Middle Atlantic,Industrial,Good,N,4.079,59.097
2007,37,M,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.530,92.730
2008,27,M,Married,White,Some College,Middle Atlantic,Industrial,Good,Y,4.146,63.189
2008,52,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.740,114.476
2008,43,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,4.176,65.111
2004,52,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,5.000,148.413
2005,54,M,Never Married,Black,Some College,Middle Atlantic,Information,Good,Y,4.696,109.490
2007,47,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.602,99.689
2005,21,M,Never Married,Black,Some College,Middle Atlantic,Information,Very Good,Y,4.663,105.928
2005,42,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.903,134.705
2003,72,M,Married,White,Advanced Degree,Middle Atlantic,Information,Good,Y,5.243,189.244
2003,38,M,Married,Asian,HS Grad,Middle Atlantic,Information,Good,Y,4.653,104.922
2009,53,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.415,82.680
2006,35,M,Separated,White,Some College,Middle Atlantic,Information,Very Good,N,4.398,81.283
2008,60,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.342,76.894
2003,39,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.447,85.384
2005,45,M,Divorced,Black,HS Grad,Middle Atlantic,Information,Good,N,4.301,73.776
2008,61,M,Married,White,HS Grad,Middle Atlantic,Information,Good,Y,4.669,106.608
2008,64,M,Divorced,White,HS Grad,Middle Atlantic,Information,Good,Y,4.556,95.231
2004,39,M,Married,Asian,< HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.255,70.476
2007,46,M,Married,Black,Some College,Middle Atlantic,Information,Good,Y,4.663,105.928
2008,25,M,Never Married,Black,Some College,Middle Atlantic,Information,Very Good,N,4.033,56.454
2003,80,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.544,94.073
2008,51,M,Divorced,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.663,105.928
2004,58,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.318,75.043
2009,52,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.778,118.884
2004,45,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.929,138.299
2007,41,M,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.602,99.689
2004,42,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.556,95.231
2008,31,M,Never Married,White,Some College,Middle Atlantic,Industrial,Good,Y,4.544,94.073
2004,49,M,Divorced,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.813,123.090
2009,47,M,Divorced,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.505,90.482
2005,39,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.477,87.981
2006,53,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.699,109.834
2003,37,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.447,85.384
2003,52,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,5.255,191.574
2006,41,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.623,101.824
2006,39,M,Married,Asian,College Grad,Middle Atlantic,Information,Very Good,Y,5.000,148.413
2009,63,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.146,171.765
2007,23,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.297,73.454
2004,62,M,Married,Black,HS Grad,Middle Atlantic,Information,Very Good,Y,4.477,87.981
2004,43,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.607,272.295
2004,29,M,Never Married,Black,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.633,102.870
2004,43,M,Married,Asian,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.079,160.642
2008,34,M,Married,Black,College Grad,Middle Atlantic,Information,Very Good,N,4.813,123.090
2003,38,M,Married,Asian,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.519,91.699
2005,25,M,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.447,85.384
2005,64,M,Married,Black,HS Grad,Middle Atlantic,Information,Good,Y,4.699,109.834
2003,49,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.740,114.476
2009,46,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.435,84.316
2006,30,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.740,114.476
2003,33,M,Never Married,White,Some College,Middle Atlantic,Industrial,Good,N,4.049,57.353
2007,29,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.653,104.922
2008,32,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.833,125.525
2007,54,M,Married,White,HS Grad,Middle Atlantic,Information,Good,Y,4.690,108.875
2005,40,M,Never Married,Black,HS Grad,Middle Atlantic,Industrial,Good,Y,4.176,65.111
2005,24,M,Never Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.699,109.834
2008,30,M,Separated,White,< HS Grad,Middle Atlantic,Industrial,Good,N,4.260,70.815
2009,49,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.978,145.144
2006,47,M,Married,Other,HS Grad,Middle Atlantic,Industrial,Good,Y,4.623,101.824
2008,25,M,Never Married,Black,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.431,84.046
2007,44,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.903,134.705
2007,41,M,Divorced,White,< HS Grad,Middle Atlantic,Information,Good,Y,4.580,97.493
2005,54,M,Separated,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,5.041,154.685
2009,59,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.301,200.543
2003,25,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.090,59.734
2009,63,M,Married,Black,Advanced Degree,Middle Atlantic,Industrial,Very Good,N,4.519,91.699
2009,49,M,Never Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.699,109.834
2008,35,M,Separated,Black,Some College,Middle Atlantic,Information,Very Good,Y,4.740,114.476
2006,24,M,Never Married,Asian,HS Grad,Middle Atlantic,Industrial,Good,N,4.193,66.229
2003,66,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.531,92.896
2008,57,M,Married,Other,< HS Grad,Middle Atlantic,Industrial,Very Good,N,4.544,94.073
2003,47,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.778,118.884
2006,44,M,Married,White,College Grad,Middle Atlantic,Industrial,Good,Y,4.886,132.488
2006,56,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.845,127.116
2004,34,M,Married,White,HS Grad,Middle Atlantic,Information,Good,N,4.602,99.689
2006,23,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Very Good,N,3.699,40.406
2008,30,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.929,138.299
2004,38,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,N,4.633,102.870
2004,43,M,Married,Black,< HS Grad,Middle Atlantic,Information,Very Good,Y,4.380,79.855
2007,58,M,Divorced,White,Some College,Middle Atlantic,Information,Good,Y,4.716,111.721
2005,36,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.130,62.199
2007,48,M,Never Married,White,HS Grad,Middle Atlantic,Information,Good,Y,4.255,70.476
2005,35,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.455,86.043
2006,22,M,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,N,4.602,99.689
2007,50,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.732,113.567
2004,58,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Good,N,4.613,100.764
2003,20,M,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,N,4.114,61.188
2007,44,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.733,113.613
2003,50,M,Married,Asian,College Grad,Middle Atlantic,Information,Very Good,Y,4.903,134.705
2009,55,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.653,104.924
2003,39,M,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.699,109.834
2008,32,M,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,5.623,276.778
2008,50,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,N,5.000,148.413
2009,24,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Very Good,N,5.000,148.413
2009,53,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.699,109.834
2003,35,M,Married,White,HS Grad,Middle Atlantic,Information,Good,N,4.398,81.283
2003,25,M,Never Married,White,< HS Grad,Middle Atlantic,Information,Very Good,Y,4.380,79.855
2006,24,M,Never Married,Asian,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.699,109.834
2005,57,M,Separated,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,5.000,148.413
2005,43,M,Married,White,< HS Grad,Middle Atlantic,Information,Good,Y,4.176,65.111
2009,33,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.481,88.299
2005,40,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.519,91.699
2008,39,M,Never Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.301,73.776
2004,32,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.255,70.476
2005,48,M,Divorced,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.857,128.680
2004,29,M,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Y,4.544,94.073
2005,35,M,Divorced,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.591,98.599
2004,41,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.892,133.232
2009,52,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.903,134.705
2005,50,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,4.519,91.699
2004,35,M,Married,Asian,College Grad,Middle Atlantic,Information,Very Good,N,5.079,160.635
2007,27,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.602,99.689
2004,57,M,Married,White,Advanced Degree,Middle Atlantic,Industrial,Good,Y,4.740,114.476
2004,48,M,Married,White,Some College,Middle Atlantic,Information,Very Good,N,4.580,97.493
2009,41,M,Divorced,Black,Some College,Middle Atlantic,Information,Good,Y,4.585,98.048
2005,59,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.653,104.922
2003,55,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.699,109.834
2005,54,M,Divorced,White,HS Grad,Middle Atlantic,Information,Good,Y,4.892,133.232
2003,34,M,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Y,4.778,118.884
2009,43,M,Never Married,White,HS Grad,Middle Atlantic,Information,Good,Y,4.301,73.776
2003,43,M,Divorced,Black,College Grad,Middle Atlantic,Information,Very Good,Y,4.653,104.922
2003,62,M,Widowed,White,< HS Grad,Middle Atlantic,Industrial,Good,N,4.128,62.030
2006,45,M,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,N,4.580,97.493
2004,40,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.982,145.805
2003,33,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.415,82.680
2005,45,M,Married,White,Advanced Degree,Middle Atlantic,Information,Good,Y,5.000,148.413
2009,21,M,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,N,3.903,49.555
2009,54,M,Married,Asian,< HS Grad,Middle Atlantic,Industrial,Good,N,4.301,73.776
2003,43,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,N,4.301,73.776
2004,54,M,Married,White,College Grad,Middle Atlantic,Industrial,Good,Y,4.845,127.116
2004,35,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Good,Y,4.699,109.834
2008,23,M,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.121,61.595
2006,61,M,Widowed,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.713,111.440
2004,51,M,Divorced,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.929,138.299
2006,43,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.845,127.116
2003,20,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.322,75.356
2007,51,M,Married,Other,Some College,Middle Atlantic,Industrial,Very Good,Y,4.934,139.003
2009,65,M,Married,White,HS Grad,Middle Atlantic,Information,Good,Y,4.778,118.884
2009,37,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.699,109.834
2008,24,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.193,66.233
2003,36,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.294,73.293
2005,45,M,Married,White,Some College,Middle Atlantic,Information,Very Good,N,4.875,130.982
2008,33,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.623,276.778
2009,36,M,Divorced,White,HS Grad,Middle Atlantic,Industrial,Good,N,4.465,86.910
2004,32,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.699,109.834
2009,45,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.778,118.884
2003,51,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.653,104.922
2005,33,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.919,136.876
2003,47,M,Divorced,White,Some College,Middle Atlantic,Industrial,Good,Y,4.431,84.046
2003,37,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.279,196.125
2008,41,M,Married,White,Some College,Middle Atlantic,Information,Good,Y,4.799,121.430
2005,23,M,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,N,4.568,96.398
2009,57,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.857,128.680
2006,61,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.000,148.413
2007,47,M,Divorced,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.447,85.384
2003,29,M,Married,Asian,College Grad,Middle Atlantic,Information,Very Good,Y,4.477,87.981
2005,37,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.602,99.689
2005,57,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Y,5.000,148.413
2004,39,M,Never Married,White,Advanced Degree,Middle Atlantic,Information,Good,N,4.398,81.283
2007,59,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.982,145.805
2007,31,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,5.004,149.056
2009,26,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,4.580,97.493
2009,51,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.771,118.020
2006,38,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,4.602,99.689
2006,51,M,Married,White,College Grad,Middle Atlantic,Information,Good,N,4.778,118.884
2004,50,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.380,79.855
2005,32,M,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Y,4.778,118.884
2007,38,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,5.079,160.642
2005,49,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,5.176,176.990
2005,40,M,Never Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.301,73.776
2007,60,M,Married,Asian,Advanced Degree,Middle Atlantic,Information,Good,Y,5.041,154.685
2007,30,M,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.623,101.824
2003,41,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.875,130.982
2009,32,M,Never Married,White,Some College,Middle Atlantic,Information,Good,Y,4.740,114.476
2009,26,M,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.663,105.928
2004,41,M,Married,White,Some College,Middle Atlantic,Industrial,Good,Y,4.398,81.283
2008,53,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.903,134.705
2005,35,M,Married,White,Some College,Middle Atlantic,Information,Very Good,N,4.580,97.493
2008,50,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.699,109.834
2004,43,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,5.146,171.765
2003,50,M,Separated,White,HS Grad,Middle Atlantic,Information,Good,Y,4.217,67.827
2009,19,M,Never Married,Black,HS Grad,Middle Atlantic,Information,Good,N,4.301,73.776
2004,42,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.519,91.699
2007,53,M,Married,Asian,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.204,66.962
2004,22,M,Never Married,Black,Some College,Middle Atlantic,Information,Good,N,4.556,95.231
2003,49,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.591,98.599
2005,33,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.699,109.834
2005,31,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.398,81.283
2004,43,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Good,Y,4.505,90.482
2009,57,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,N,4.699,109.834
2005,40,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.000,148.413
2003,48,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.437,84.529
2004,46,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.623,101.824
2009,58,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.653,104.922
2003,50,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.653,104.922
2005,38,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.602,99.689
2004,33,M,Never Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.619,101.402
2007,52,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,5.004,149.056
2004,48,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Good,N,4.301,73.776
2006,53,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,N,5.079,160.642
2008,37,M,Never Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.778,118.884
2007,43,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.783,119.405
2008,54,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.681,107.904
2004,41,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.043,154.868
2005,57,M,Married,White,College Grad,Middle Atlantic,Industrial,Good,N,4.322,75.356
2007,54,M,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Y,4.775,118.540
2009,25,M,Divorced,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.342,76.894
2003,35,M,Separated,White,< HS Grad,Middle Atlantic,Information,Very Good,N,4.130,62.199
2008,29,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,5.204,182.021
2009,36,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,5.591,267.901
2005,43,M,Married,White,College Grad,Middle Atlantic,Industrial,Good,Y,4.954,141.775
2007,41,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,5.230,186.877
2003,52,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,N,4.279,72.150
2005,48,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,3.903,49.555
2003,51,M,Married,Black,HS Grad,Middle Atlantic,Information,Very Good,N,4.398,81.283
2004,55,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.778,118.884
2004,37,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,N,4.580,97.493
2007,48,M,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.716,111.721
2003,42,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Good,Y,4.623,101.824
2007,43,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.845,127.116
2006,32,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,4.477,87.981
2006,33,M,Never Married,White,College Grad,Middle Atlantic,Industrial,Good,Y,4.431,84.046
2003,48,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.362,78.392
2009,20,M,Never Married,Black,Some College,Middle Atlantic,Information,Very Good,N,3.837,46.367
